,Account,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
68,@BBCBreaking,"Donald Trump arrives in UK for two-day working trip; his first time in the country as US president 

Follow… https://t.co/LYywzQUv3H",Thu Jul 12 13:07:51 +0000 2018,0.0,0.0,1.0,0.0,69
69,@BBCBreaking,Proposed deal for Rupert Murdoch's 21st Century Fox to buy Sky approved by UK government https://t.co/9ccLlahx8A,Thu Jul 12 11:31:29 +0000 2018,0.4215,0.157,0.843,0.0,70
70,@BBCBreaking,President Trump says Nato countries have agreed to spend more on military budgets https://t.co/zDQjItZjgv,Thu Jul 12 10:35:27 +0000 2018,0.2732,0.139,0.861,0.0,71
71,@BBCBreaking,"Heartbreak for England as the team is knocked out of the World Cup by Croatia, losing 2-1 in the semi-final #ENGCRO… https://t.co/maYzBIKN70",Wed Jul 11 20:43:42 +0000 2018,-0.743,0.0,0.76,0.24,72
72,@BBCBreaking,"RT @BBCSport: The defending champion is OUT.

Roger Federer is beaten in the quarter-finals at Wimbledon by eighth seed Kevin Anderson.

Re…",Wed Jul 11 16:30:49 +0000 2018,0.2732,0.146,0.749,0.105,73
73,@BBCBreaking,The top 12 earners on the BBC's latest list of star salaries are all men - with Gary Lineker the highest paid https://t.co/sFhc7Fzzvg,Wed Jul 11 11:01:22 +0000 2018,0.2023,0.079,0.921,0.0,74
74,@BBCBreaking,"Novichok poisoning victim Charlie Rowley ""no longer in critical condition"", says director of nursing at Salisbury H… https://t.co/euDmWNA8JN",Wed Jul 11 10:44:48 +0000 2018,-0.8555,0.0,0.574,0.426,75
75,@BBCBreaking,Member of German neo-Nazi gang has been found guilty of 10 racially-motivated murders after five-year trial https://t.co/AD8caMZBYn,Wed Jul 11 08:11:56 +0000 2018,-0.7783,0.0,0.688,0.312,76
76,@BBCBreaking,"""There was only a tiny bit of hope, but that's all we had to work with.""

Thai Navy Seal chief talks about successf… https://t.co/ARk0ZPEWYn",Wed Jul 11 05:03:41 +0000 2018,0.2382,0.081,0.919,0.0,77
77,@BBCBreaking,"RT @BBCSport: FT: #FRA 1-0 #BEL 

France are into their third #WorldCup final! 

Samuel Umtiti's 51st minute header gives Les Bleus victory…",Tue Jul 10 20:04:12 +0000 2018,0.0,0.0,1.0,0.0,78
78,@BBCBreaking,"Amesbury Novichok poisoning victim Charlie Rowley is now conscious but ""not out of the woods yet"", say doctors https://t.co/8DpOy3EmKk",Tue Jul 10 16:22:12 +0000 2018,-0.4497,0.0,0.811,0.189,79
79,@BBCBreaking,Conservative party vice chairs Maria Caulfield and Ben Bradley quit over Theresa May's Chequers Brexit plan https://t.co/eu5WbZqyvi,Tue Jul 10 15:51:04 +0000 2018,0.4019,0.144,0.856,0.0,80
80,@BBCBreaking,"RT @BBCSport: Wow! 😲

Cristiano Ronaldo is set to be confirmed as a Juventus player, with a deal agreed between the Serie A club and Real M…",Tue Jul 10 15:32:56 +0000 2018,0.7345,0.228,0.772,0.0,81
81,@BBCBreaking,"@DanJohnsonNews Mission accomplished!

The last members of the rescue team who were inside the cave have made it ou… https://t.co/07BGJKbrAs",Tue Jul 10 14:47:39 +0000 2018,0.7574,0.265,0.735,0.0,82
82,@BBCBreaking,"""It really is a fantastic achievement of human endeavour"" - @DanJohnsonNews on the extraordinary challenges faced b… https://t.co/QvEyYpepnm",Tue Jul 10 12:47:28 +0000 2018,0.6344,0.27,0.73,0.0,83
83,@BBCBreaking,"What a sight!

Dozens of aircraft fly over Buckingham Palace as the Royal Air Force celebrates 100 years of its pro… https://t.co/nAE0vnKNkp",Tue Jul 10 12:25:05 +0000 2018,0.6114,0.166,0.834,0.0,84
84,@BBCBreaking,#ThaiCaveRescue: All 12 boys and their football coach rescued from flooded cave system in Chiang Rai 🐗🇹🇭… https://t.co/sGgZ9M5i42,Tue Jul 10 11:54:41 +0000 2018,0.4215,0.141,0.859,0.0,85
85,@BBCBreaking,"Reports from the scene say 11th person has been carried out of cave in Thailand, as rescue operation continues… https://t.co/DQT7iRlkkX",Tue Jul 10 10:30:29 +0000 2018,0.5106,0.148,0.852,0.0,86
86,@BBCBreaking,"Thai cave rescue: At least one more boy brought out of cave safely in latest phase of rescue operation - reports

L… https://t.co/OaF9Y8otmE",Tue Jul 10 09:45:01 +0000 2018,0.8689,0.34,0.66,0.0,87
87,@BBCBreaking,"#ThailandCaveRescue: Remaining  four boys and coach may be freed today, rescue chief says https://t.co/ZND3yhW6ke… https://t.co/RbbPnDiatP",Tue Jul 10 05:08:14 +0000 2018,0.7184,0.316,0.684,0.0,88
88,@BBCBreaking,Day 3 of the #ThailandCaveRescue and divers are gearing up to save the remaining five - Follow our live reporting p… https://t.co/eckWXBmsjT,Tue Jul 10 02:23:26 +0000 2018,0.4939,0.144,0.856,0.0,89
89,@BBCBreaking,"President Trump picks conservative Brett Kavanaugh for US Supreme Court, setting up a tough confirmation battle https://t.co/tn5pf9I6oW",Tue Jul 10 01:06:25 +0000 2018,0.128,0.174,0.628,0.198,90
90,@BBCBreaking,"Matt Hancock appointed new health secretary to replace Jeremy Hunt 

https://t.co/OjtreyhwDR",Mon Jul 09 20:13:13 +0000 2018,0.0,0.0,1.0,0.0,91
91,@BBCBreaking,"Jeremy Hunt named as new UK foreign secretary after Boris Johnson quits over Brexit, Downing Street says https://t.co/0IZozKootn",Mon Jul 09 19:58:16 +0000 2018,0.0,0.0,1.0,0.0,92
92,@BBCBreaking,"Resignation statement in full from @BorisJohnson

Live reaction: https://t.co/w4wKJ0BcTD https://t.co/9UCCX8X7hv",Mon Jul 09 17:21:53 +0000 2018,-0.296,0.0,0.804,0.196,93
93,@BBCBreaking,"Former UK foreign secretary says in resignation letter Brexit dream is dying - ""suffocated by needless self-doubt"" https://t.co/zPtdTpJ1xW",Mon Jul 09 17:10:12 +0000 2018,-0.0516,0.104,0.781,0.115,94
94,@BBCBreaking,"Prince Louis arrives for his christening service at the Chapel Royal, St James's Palace

https://t.co/TGe9Ld5mpM https://t.co/rmN5muoneJ",Mon Jul 09 15:37:45 +0000 2018,0.0,0.0,1.0,0.0,95
95,@BBCBreaking,"Boris Johnson resigns as UK Foreign Secretary, following the resignation of Brexit Secretary David Davis https://t.co/gFKnbH5oez",Mon Jul 09 14:03:11 +0000 2018,-0.5423,0.0,0.757,0.243,96
96,@BBCBreaking,"#ThaiCaveRescue: Four more boys have been safely taken out of the caves, bringing the total rescued to eight, the B… https://t.co/iAoDEWyY14",Mon Jul 09 12:58:32 +0000 2018,0.7184,0.24,0.76,0.0,97
